市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯
目黒区八雲５丁目,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,4,2,0,0,0,2
目黒区東が丘１丁目,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0,2
目黒区東が丘２丁目,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,4,5,1,1,0,0,3
目黒区計,1419,15,2,13,115,0,71,32,11,1,48,1,3,1,20,7,4,1,11,830,1,8,451,18,0,4,3,0,16,110,219,411,146,33,4,0,228
大田区大森東１丁目,38,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,27,0,3,13,2,0,0,0,0,0,4,5,8,5,0,0,0,3
大田区大森東２丁目,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,3,2,0,0,0,1
大田区大森東３丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,0,2,2,0,0,0,0
大田区大森東４丁目,15,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0,1,0,1,1,0,0,0,0
大田区大森東５丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,2,2,0,0,0,0,0,0,3,2,1,0,0,0,1
大田区大森南１丁目,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,1,4,0,0,0,0,4
大田区大森南２丁目,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,0,1,0,0,0,0,1,3,3,1,0,0,0,2
大田区大森南３丁目,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,1,3,2,1,0,0,0,1
大田区大森南４丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,2
大田区大森南５丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0
大田区大森中１丁目,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,1,0,0,3,4,1,0,0,0,3
大田区大森中２丁目,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,1,0,0,0,0,0,1,2,2,1,0,0,0,1
大田区大森中３丁目,22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,16,0,0,0,0,0,1,0,1,3,1,0,0,0,2
大田区大森西１丁目,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,14,2,0,0,0,0,0,1,0,4,3,0,0,0,1
大田区大森西２丁目,20,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,12,3,0,0,0,0,1,1,0,1,0,0,0,0,1
大田区大森西３丁目,56,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,43,0,1,24,3,1,0,0,0,1,8,5,10,2,1,0,0,7
大田区大森西４丁目,28,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,15,1,1,0,0,0,0,2,0,6,2,0,1,0,3
大田区大森西５丁目,23,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,15,0,1,8,1,0,0,0,0,0,1,4,5,3,1,0,0,1
大田区大森西６丁目,19,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,14,0,0,5,1,0,0,0,0,0,2,6,2,1,0,0,0,1
大田区大森西７丁目,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,3,3,0,0,0,0
大田区大森北１丁目,122,2,2,0,11,0,3,8,0,0,1,0,0,0,0,0,0,0,1,93,0,0,39,1,0,0,0,0,2,28,23,15,2,7,1,0,5
大田区大森北２丁目,53,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,39,0,0,12,0,1,0,0,0,0,23,3,12,3,2,0,0,7
大田区大森北３丁目,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,20,0,0,0,0,0,0,1,3,6,1,0,0,0,5
大田区大森北４丁目,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,1,0,0,0,0,1,1,2,0,0,0,0,0,0
大田区大森北５丁目,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,1,0,0,0,0,0,4,2,5,1,0,0,0,4
大田区大森北６丁目,60,2,2,0,7,0,4,2,1,0,0,0,0,0,0,0,0,0,0,47,0,0,38,1,0,0,0,0,0,2,6,4,0,0,0,0,4
大田区大森本町１丁目,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,1,3,3,0,0,0,0
大田区大森本町２丁目,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,0,0,7,0,0,0,0,0,0,0,6,5,2,1,0,0,2
大田区平和島１丁目,42,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,0,1,25,2,0,0,0,0,1,6,3,3,1,1,0,0,1
大田区平和島２丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大田区平和島３丁目,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
大田区平和島４丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
大田区平和島５丁目,5,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
大田区平和島６丁目,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
大田区昭和島１丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1
大田区昭和島２丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2
大田区山王１丁目,17,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,3,1,0,0,0,0,0,2,1,7,4,0,0,0,3
大田区山王２丁目,59,1,0,1,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,40,0,0,13,0,0,0,0,0,1,10,16,12,5,2,0,0,5
大田区山王３丁目,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,11,1,0,1,0,0,2,23,6,7,2,3,0,0,2
大田区山王４丁目,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,3,1,3,0,1,0,0,2
大田区京浜島１丁目,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大田区東馬込１丁目,17,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,7,0,1,3,1,0,0,0,0,0,2,0,7,2,0,0,0,5
大田区東馬込２丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,2
大田区南馬込１丁目,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,3,1,0,0,0,0,0,0,2,6,4,0,0,0,2
大田区南馬込２丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
大田区南馬込３丁目,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,1,0,0,0,0,0,0,0,5,2,0,0,0,3
大田区南馬込４丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1
大田区南馬込５丁目,15,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,8,1,3,0,0,4
大田区南馬込６丁目,13,0,0,0,5,0,1,2,1,1,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,1,4,3,0,0,0,1
大田区中馬込１丁目,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,4,2,0,0,0,2
大田区中馬込２丁目,18,1,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,9,0,1,4,0,0,0,0,0,0,0,4,5,2,0,0,0,3
